,Pclass,Sex,Age,Fare,Cabin,Embarked,Title,FamilySize
0,3,0,1.0,0.0,2.0,0,0,0.4
1,1,1,3.0,2.0,0.8,1,2,0.4
2,3,1,1.0,0.0,2.0,0,1,0.0
3,1,1,2.0,2.0,0.8,0,2,0.4
4,3,0,2.0,0.0,2.0,0,0,0.0
5,3,0,2.0,0.0,2.0,2,0,0.0
6,1,0,3.0,2.0,1.6,0,0,0.0
7,3,0,0.0,1.0,2.0,0,3,1.6
8,3,1,2.0,0.0,2.0,0,2,0.8
9,2,1,0.0,2.0,1.8,1,2,0.4
10,3,1,0.0,0.0,2.4,0,1,0.8
11,1,1,3.0,1.0,0.8,0,1,0.0
12,3,0,1.0,0.0,2.0,0,0,0.0
13,3,0,3.0,2.0,2.0,0,0,2.4
14,3,1,0.0,0.0,2.0,0,1,0.0
15,2,1,3.0,0.0,1.8,0,2,0.0
16,3,0,0.0,1.0,2.0,2,3,2.0
17,2,0,2.0,0.0,1.8,0,0,0.0
18,3,1,2.0,1.0,2.0,0,2,0.4
19,3,1,2.0,0.0,2.0,1,2,0.0
20,2,0,2.0,1.0,1.8,0,0,0.0
21,2,0,2.0,0.0,1.2,0,0,0.0
22,3,1,0.0,0.0,2.0,2,1,0.0
23,1,0,2.0,2.0,0.0,0,0,0.0
24,3,1,0.0,1.0,2.0,0,1,1.6
25,3,1,3.0,2.0,2.0,0,2,2.4
26,3,0,2.0,0.0,2.0,1,0,0.0
27,1,0,1.0,3.0,0.8,0,0,2.0
28,3,1,1.0,0.0,2.0,2,1,0.0
29,3,0,2.0,0.0,2.0,0,0,0.0
30,1,0,3.0,1.0,0.8,1,3,0.0
31,1,1,2.0,3.0,0.4,1,2,0.4
32,3,1,1.0,0.0,2.0,2,1,0.0
33,2,0,4.0,0.0,1.8,0,0,0.0
34,1,0,2.0,2.0,0.8,1,0,0.4
35,1,0,3.0,2.0,0.8,0,0,0.4
36,3,0,2.0,0.0,2.0,1,0,0.0
37,3,0,1.0,0.0,2.0,0,0,0.0
38,3,1,1.0,1.0,2.0,0,1,0.8
39,3,1,0.0,0.0,2.0,1,1,0.4
40,3,1,3.0,0.0,2.0,0,2,0.4
41,2,1,2.0,1.0,1.8,0,2,0.4
42,3,0,2.0,0.0,2.0,1,0,0.0
43,2,1,0.0,2.0,1.8,1,1,1.2
44,3,1,1.0,0.0,2.0,2,1,0.0
45,3,0,2.0,0.0,2.0,0,0,0.0
46,3,0,2.0,0.0,2.0,2,0,0.4
47,3,1,1.0,0.0,2.0,2,1,0.0
48,3,0,2.0,1.0,2.0,1,0,0.8
49,3,1,1.0,1.0,2.0,0,2,0.4
50,3,0,0.0,2.0,2.0,0,3,2.0
51,3,0,1.0,0.0,2.0,0,0,0.0
52,1,1,3.0,2.0,1.2,1,2,0.4
53,2,1,2.0,1.0,1.8,0,2,0.4
54,1,0,4.0,2.0,0.4,1,0,0.4
55,1,0,2.0,2.0,0.8,0,0,0.0
56,2,1,1.0,0.0,1.8,0,1,0.0
57,3,0,2.0,0.0,2.0,1,0,0.0
58,2,1,0.0,1.0,1.8,0,1,1.2
59,3,0,0.0,2.0,2.0,0,3,2.8
60,3,0,1.0,0.0,2.0,1,0,0.0
61,1,1,3.0,2.0,0.4,0,1,0.0
62,1,0,3.0,2.0,0.8,0,0,0.4
63,3,0,0.0,1.0,2.0,0,3,2.0
64,1,0,2.0,1.0,0.8,1,0,0.0
65,3,0,0.0,0.0,2.0,1,3,0.8
66,2,1,2.0,0.0,2.0,0,2,0.0
67,3,0,1.0,0.0,2.0,0,0,0.0
